tick,return,percentile
COTY,0.24347988077496274,0.9709794437726723
BFRA,0.2430458970792766,0.9707376058041113
PEN,0.23956829064376395,0.9704957678355501
PDVW,0.2393119150012648,0.9702539298669891
NAOV,0.2356979405034323,0.9700120918984281
NVEE,0.23534162493942823,0.969770253929867
ACIU,0.23467230443974607,0.9695284159613059
VSLR,0.23400365630712994,0.9692865779927449
ENZ,0.23142857142857132,0.9690447400241838
JKS,0.22990271377368132,0.9688029020556227
ASPN,0.2298850574712643,0.9685610640870617
HEI,0.2277992277992278,0.9683192261185006
BVSN,0.227673374355563,0.9680773881499395
TNAV,0.22601626016260146,0.9678355501813785
SNAP,0.2233096085409252,0.9675937122128174
SLGL,0.22175141242937846,0.9673518742442564
GSB,0.22108487144353983,0.9671100362756953
FANH,0.2198108476869074,0.9668681983071342
ZYNE,0.218018018018018,0.9666263603385732
PTSI,0.2160416666666667,0.966384522370012
HAE,0.21396272195875143,0.966142684401451
SHOP,0.21366517961962894,0.96590084643289
SLP,0.21271831616659198,0.965659008464329
EHTH,0.21267509395285278,0.9654171704957678
WING,0.21248180875270362,0.9651753325272068
CVCO,0.21191102607031786,0.9649334945586457
WRN,0.2111764705882353,0.9646916565900846
S,0.20985401459854014,0.9644498186215236
ISSC,0.20758153565940018,0.9642079806529625
HSC,0.20700636942675166,0.9639661426844015
DXCM,0.20686217496053838,0.9637243047158404
ITI,0.20459770114942533,0.9634824667472793
CECE,0.2036793692509855,0.9632406287787183
BRKR,0.20354423025046176,0.9629987908101572
PRO,0.2031990521327014,0.9627569528415961
SBGL,0.20227920227920237,0.9625151148730351
GLOB,0.2014475271411338,0.962273276904474
QURE,0.20140917683450765,0.9620314389359129
EVRI,0.20040485829959498,0.9617896009673519
LOMA,0.20039880358923234,0.9615477629987909
SAH,0.1982670744138635,0.9613059250302297
SDPI,0.19565217391304346,0.9610640870616687
AGI,0.19444444444444442,0.9608222490931076
GPX,0.194065757818765,0.9605804111245465
NMM,0.1931755197468532,0.9603385731559855
PTGX,0.1930348258706467,0.9600967351874244
SACH,0.19282511210762343,0.9598548972188634
APPS,0.19280205655526972,0.9596130592503023
SWCH,0.19227384316086904,0.9593712212817412
ANIK,0.19199057714958756,0.9591293833131802
PBHC,0.1901277924104965,0.9588875453446191
INSE,0.19009370816599747,0.958645707376058
CCO,0.18876404494382015,0.958403869407497
EVLV,0.18825136612021853,0.958162031438936
MTCH,0.1882138718755173,0.9579201934703748
RESI,0.18812877263581496,0.9576783555018138
IMKTA,0.1880149812734082,0.9574365175332528
VEEV,0.1852955787382018,0.9571946795646916
MOXC,0.18461538461538463,0.9569528415961306
ENG,0.18421052631578938,0.9567110036275696
SPKE,0.1837309565535259,0.9564691656590084
ELGX,0.18354430379746844,0.9562273276904474
PETQ,0.18350100603621722,0.9559854897218864
NEM,0.18322864300654151,0.9557436517533253
TEAM,0.18310246766351712,0.9555018137847642
ADES,0.17951616137677062,0.9552599758162031
VALU,0.17921960072595278,0.9550181378476421
