tick,return,pecentile
AMBR,0.314083080040527,0.9055590650663298
MSCI,0.3136253156193216,0.9052432090966519
FIVE,0.31324200913241995,0.9049273531269741
LBRDA,0.3125331213566507,0.9046114971572963
CAE,0.3122416847077347,0.9042956411876184
ARCI,0.3121387283236994,0.9039797852179406
PSB,0.3116813708158952,0.9036639292482628
DHR,0.3106681873314143,0.903348073278585
CCK,0.31021409455842996,0.9030322173089071
OLLI,0.3098425196850394,0.9027163613392293
FII,0.3090283630014736,0.9024005053695515
PYDS,0.308641975308642,0.9020846493998737
AEE,0.30781985093299036,0.9017687934301958
KMB,0.3054156559686876,0.901452937460518
FDS,0.304849000425351,0.9011370814908402
FIVN,0.3044619422572179,0.9008212255211624
CNS,0.30423897225656016,0.9005053695514845
MXL,0.30340375586854473,0.9001895135818067
POR,0.30270448790870064,0.8998736576121289
MIDD,0.30173654418113793,0.899557801642451
AWR,0.30121344935923333,0.8992419456727733
MLNX,0.30059311981020165,0.8989260897030954
OMAB,0.3005727627594761,0.8986102337334175
NSYS,0.30030959752321995,0.8982943777637398
ADC,0.2999912530492841,0.8979785217940619
ONCE,0.2989864864864866,0.897662665824384
PLUG,0.297979797979798,0.8973468098547063
OFLX,0.2977975611976149,0.8970309538850284
NNN,0.29622089795314066,0.8967150979153506
HCC,0.2943421278650318,0.8963992419456728
OSIS,0.2942751498151217,0.8960833859759949
ATRO,0.29417467035901623,0.8957675300063171
FCN,0.2938749603300539,0.8954516740366393
TMUS,0.293194582094483,0.8951358180669615
ARES,0.2921837308199249,0.8948199620972836
CMS,0.2917477994511437,0.8945041061276058
GLP,0.291443781171667,0.894188250157928
AON,0.29128151716356365,0.8938723941882502
QRHC,0.28947368421052655,0.8935565382185723
DOV,0.2887565708886972,0.8932406822488945
CNNE,0.2886699507389163,0.8929248262792167
CHTR,0.28772313048226894,0.8926089703095389
CWT,0.2867815915980281,0.892293114339861
CSL,0.28630627058967906,0.8919772583701832
PNW,0.28607816063793967,0.8916614024005054
AES,0.28566452389246,0.8913455464308275
GMRE,0.28540252763855256,0.8910296904611498
AJRD,0.2851153039832286,0.8907138344914719
MSI,0.2846186807517075,0.890397978521794
HE,0.2845368638675865,0.8900821225521163
LDOS,0.2842627901620045,0.8897662665824384
AQN,0.28416381052816586,0.8894504106127605
ERII,0.2829028290282902,0.8891345546430828
AJG,0.2823802089699574,0.8888186986734049
DIS,0.28212247711692373,0.8885028427037271
CVI,0.281750122288579,0.8881869867340493
PAYX,0.2811781604922483,0.8878711307643714
DSGX,0.2806349206349208,0.8875552747946936
CACC,0.2800510814041952,0.8872394188250158
HRS,0.279770645409412,0.886923562855338
I,0.27895392278953923,0.8866077068856602
GPN,0.2788525281745313,0.8862918509159823
FORTY,0.27837050373124383,0.8859759949463045
OCSL,0.27807813242246704,0.8856601389766267
OHI,0.2777824314513877,0.8853442830069488
ARNC,0.2776233071926537,0.885028427037271
PFNX,0.2767857142857144,0.8847125710675932
MA,0.2764682481733447,0.8843967150979154
ETR,0.27593223165041425,0.8840808591282375
CLH,0.27456864216054,0.8837650031585597
CIDM,0.27450980392156854,0.8834491471888819
ESNT,0.2744993324432574,0.883133291219204
OGE,0.27351551053440715,0.8828174352495262
MSFT,0.2717598185560861,0.8825015792798484
NICE,0.27138350608382145,0.8821857233101705
IPAR,0.27077187067252706,0.8818698673404928
AMED,0.2705909725453701,0.8815540113708149
AKTX,0.27053140096618367,0.881238155401137
VZ,0.270354519542922,0.8809222994314593
HRZN,0.2697999956662118,0.8806064434617814
LRAD,0.26970954356846466,0.8802905874921036
AMRC,0.26882591093117414,0.8799747315224258
INVE,0.2676399026763989,0.8796588755527479
MNOV,0.2676224611708484,0.8793430195830702
FE,0.2673935556058138,0.8790271636133923
BTAI,0.26728110599078336,0.8787113076437144
HWBK,0.2668368202395812,0.8783954516740367
CQP,0.2665643660933079,0.8780795957043588
ISNS,0.2650602409638554,0.877763739734681
FTNT,0.2647699004975126,0.8774478837650032
WRB,0.26437462588689065,0.8771320277953253
CSBR,0.2643504531722054,0.8768161718256475
BOOT,0.262902514336127,0.8765003158559697
NS,0.2627841492522329,0.8761844598862919
ECL,0.2619592201054364,0.875868603916614
EFC,0.2619244284534292,0.8755527479469362
EQR,0.26182071984581645,0.8752368919772584
IQV,0.26163284568192524,0.8749210360075805
FAST,0.26097699159610954,0.8746051800379027
SO,0.2608500012822994,0.8742893240682249
VTR,0.26018457546659857,0.873973468098547
NOVT,0.25953125,0.8736576121288693
AIV,0.2594912294948839,0.8733417561591914
ESS,0.25893062917723,0.8730259001895135
FN,0.25779740546508423,0.8727100442198358
AMPH,0.2570754716981132,0.8723941882501579
PEP,0.25684204375012154,0.8720783322804802
ALLE,0.2568338296724917,0.8717624763108023
LMRK,0.2567842333616175,0.8714466203411244
SJM,0.25590291128133824,0.8711307643714467
ORLY,0.25523917591574774,0.8708149084017688
FLS,0.2551147190036007,0.8704990524320909
CPHI,0.25499565595134666,0.8701831964624132
CYTK,0.2538922155688623,0.8698673404927353
CHGG,0.25323349217154534,0.8695514845230575
AAT,0.252940996984802,0.8692356285533797
